"lats","lons"
-6.75,0
-6.75,0.75
-6.75,1.5
-6.75,2.25
-6.75,3
-6.75,3.75
-6.75,4.5
-6.75,5.25
-6.75,6
-6.75,6.75
-6.75,7.5
-6.75,8.25
-6.75,9
-6.75,9.75
-6.75,10.5
-6.75,11.25
-6.75,12
-6.75,12.75
-6.75,13.5
-6.75,14.25
-6.75,15
-6.75,15.75
-6.75,16.5
-6.75,17.25
-6.75,18
-6.75,18.75
-6.75,19.5
-6.75,20.25
-6.75,21
-6.75,21.75
-6.75,22.5
-6.75,23.25
-6.75,24
-6.75,24.75
-6.75,25.5
-6.75,26.25
-6.75,27
-6.75,27.75
-6.75,28.5
-6.75,29.25
-6.75,30
-6,-9.75
-6,-9
-6,-8.25
-6,-7.5
-6,-6.75
-6,-6
-6,-5.25
-6,-4.5
-6,-3.75
-6,-3
-6,-2.25
-6,-1.5
-6,-0.75
-6,0
-6,0.75
-6,1.5
